"variable","estimate","std_error","test_statistic","p_value","chi_squared","p_value_anova","test_statistic_type"
"Roadside",NA,NA,NA,NA,NA,NA,NA
"(Intercept)",0.233349067805099,0.909177934343765,0.256659405151014,0.797441711933776,0.0658740502524724,0.797441711933776,"Type II Wald chisquare tests"
"patchDistance",-0.0205802310419147,0.00583279394701163,-3.52836586186261,0.000418133804787248,12.4493656551575,0.000418133804787248,"Type II Wald chisquare tests"
"roadDistance",1.82255161386821,0.703752007777309,2.58976399886156,0.00960417494580971,6.7068775697994,0.00960417494580972,"Type II Wald chisquare tests"
"roadDistanceSq",-0.43762913094184,0.143946021271591,-3.0402308245543,0.00236396897059462,9.24300346657013,0.00236396897059462,"Type II Wald chisquare tests"
"Scrub vs Road",NA,NA,NA,NA,NA,NA,NA
"(Intercept)",-1.08128377769964,0.324874806181542,-3.32830911208121,0.000873748601140872,11.0776415455628,0.000873748601140872,"Type II Wald chisquare tests"
"habitatscrub",-2.33501537642495,0.507553368589075,-4.60053172913807,4.21413821075049e-06,21.1648921908061,4.21413821075049e-06,"Type II Wald chisquare tests"
